zip,lat,lon,city
35621,34.367528,-86.73641,EVA
35622,34.361909,-86.899143,FALKVILLE
35630,34.869601,-87.686915,FLORENCE
35631,34.869964,-87.706859,FLORENCE
35632,34.869964,-87.706859,FLORENCE
35633,34.880706,-87.742362,FLORENCE
35634,34.900446,-87.794596,FLORENCE
35640,34.491606,-86.934715,HARTSELLE
35643,34.635459,-87.267871,HILLSBORO
35645,34.907715,-87.50135,KILLEN
35646,34.677233,-87.53399,LEIGHTON
35647,34.959647,-87.100579,LESTER
35648,34.944077,-87.365663,LEXINGTON
35649,34.625877,-86.874641,MOORESVILLE
35650,34.492894,-87.299281,MOULTON
35651,34.47926,-87.476911,MOUNT HOPE
35652,34.844868,-87.321426,ROGERSVILLE
35653,34.444903,-87.854726,RUSSELLVILLE
35654,34.46752,-87.647762,RUSSELLVILLE
35660,34.691165,-87.710054,SHEFFIELD
35661,34.758537,-87.70004,MUSCLE SHOALS
35662,34.757152,-87.966575,MUSCLE SHOALS
35670,34.436256,-86.729737,SOMERVILLE
35671,34.679634,-86.962519,TANNER
35672,34.633251,-87.418659,TOWN CREEK
35673,34.591393,-87.078896,TRINITY
35674,34.66604,-87.749232,TUSCUMBIA
35677,34.925311,-87.991142,WATERLOO
35699,34.495365,-86.82993,DECATUR
35739,34.961697,-86.844257,ARDMORE
35740,34.799983,-85.803464,BRIDGEPORT
35741,34.719303,-86.475425,BROWNSBORO
35742,34.774907,-87.030479,CAPSHAW
35744,34.60335,-85.911106,DUTTON
35745,34.925315,-86.190432,ESTILLFORK
35746,34.75343,-85.98022,FACKLER
35747,34.41847,-86.289976,GRANT
35748,34.722737,-86.40353,GURLEY
35749,34.829768,-86.703349,HARVEST
35750,34.937132,-86.581015,HAZEL GREEN
35751,34.79549,-86.274287,HOLLYTREE
35752,34.807443,-85.887684,HOLLYWOOD
35754,34.50544,-86.62488,LACEYS SPRING
35755,34.733585,-86.020239,LANGSTON
35756,34.651409,-86.754233,MADISON
35757,34.778246,-86.744163,MADISON
35758,34.710815,-86.742478,MADISON
35759,34.88186,-86.555622,MERIDIANVILLE
35760,34.56112,-86.385064,NEW HOPE
35761,34.893332,-86.452042,NEW MARKET
35762,34.733964,-86.522913,NORMAL
35763,34.724161,-86.464438,OWENS CROSS ROADS
35764,34.703063,-86.306794,PAINT ROCK
35765,34.669329,-86.016699,PISGAH
35766,34.871329,-86.251275,PRINCETON
35767,34.733964,-86.522913,RYLAND
35768,34.750724,-86.142151,SCOTTSBORO
35769,34.617951,-86.056162,SCOTTSBORO
35771,34.671536,-85.958355,SECTION
35772,34.856233,-85.871317,STEVENSON
35773,34.904492,-86.681104,TONEY
35774,34.717551,-86.073788,TRENTON
35775,34.541985,-86.687136,VALHERMOSO SPRINGS
35776,34.746425,-86.076117,WOODVILLE
35801,34.718428,-86.556439,HUNTSVILLE
35802,34.660866,-86.560608,HUNTSVILLE
35803,34.58639,-86.536754,HUNTSVILLE
35804,34.728366,-86.585312,HUNTSVILLE
35805,34.702327,-86.628864,HUNTSVILLE
35806,34.76184,-86.686994,HUNTSVILLE
35807,34.733964,-86.522913,HUNTSVILLE
35808,34.677627,-86.612147,HUNTSVILLE
35809,34.733964,-86.522913,HUNTSVILLE
35810,34.797685,-86.593583,HUNTSVILLE
35811,34.791497,-86.513152,HUNTSVILLE
35812,34.733964,-86.522913,HUNTSVILLE
35813,34.733964,-86.522913,HUNTSVILLE
35814,34.733964,-86.522913,HUNTSVILLE
35815,34.733964,-86.522913,HUNTSVILLE
35816,34.753078,-86.628643,HUNTSVILLE
35824,34.645603,-86.752294,HUNTSVILLE
35893,34.733964,-86.522913,HUNTSVILLE
35894,34.733964,-86.522913,HUNTSVILLE
35895,34.733964,-86.522913,HUNTSVILLE
35896,34.733964,-86.522913,HUNTSVILLE
35897,34.733964,-86.522913,HUNTSVILLE
35898,34.733964,-86.522913,HUNTSVILLE
35899,34.733898,-86.645592,HUNTSVILLE
35901,34.024285,-86.074145,GADSDEN
35902,33.984062,-85.803434,GADSDEN
35903,33.984547,-85.907668,GADSDEN
35904,34.05744,-86.107869,GADSDEN
35905,33.93523,-85.957593,GADSDEN
35906,34.033764,-86.085173,RAINBOW CITY
35907,33.959647,-85.973173,GADSDEN
35950,34.314291,-86.242033,ALBERTVILLE
35951,34.322334,-86.193529,ALBERTVILLE
35952,34.07097,-86.209599,ALTOONA
35953,33.785173,-86.216884,ASHVILLE
35954,34.051848,-86.061397,ATTALLA
35956,34.267,-86.166021,BOAZ
35957,34.280737,-86.229092,BOAZ
35958,34.917606,-85.64924,BRYANT
35959,34.359072,-85.611793,CEDAR BLUFF
35960,34.110859,-85.590218,CENTRE
35961,34.337295,-85.85769,COLLINSVILLE
35962,34.302028,-86.004164,CROSSVILLE
35963,34.359123,-85.923978,DAWSON
35964,34.34962,-86.319824,DOUGLAS
35966,34.803085,-85.720245,FLAT ROCK
35967,34.417112,-85.828068,FORT PAYNE
35968,34.507242,-85.797851,FORT PAYNE
35971,34.43038,-85.898669,FYFFE
35972,34.00233,-86.224672,GALLANT
35973,34.373726,-85.557307,GAYLESVILLE
35974,34.359204,-86.02397,GERALDINE
35975,34.435197,-86.038915,GROVEOAK
35976,34.344851,-86.27518,GUNTERSVILLE
35978,34.600393,-85.730615,HENAGAR
35979,34.839084,-85.619582,HIGDON
35980,34.209898,-86.343937,HORTON
35981,34.719358,-85.658943,IDER
35983,34.144013,-85.748018,LEESBURG
35984,34.556856,-85.578584,MENTONE
35986,34.419163,-85.761585,RAINSVILLE
35987,33.916778,-86.243593,STEELE
35988,34.570198,-85.729289,SYLVANIA
35989,34.4879,-85.689133,VALLEY HEAD
35990,34.056618,-86.275434,WALNUT GROVE
36003,32.450328,-86.721712,AUTAUGAVILLE
36005,31.839131,-85.928538,BANKS
36006,32.576407,-86.711472,BILLINGSLEY
36008,32.501649,-86.572711,BOOTH
36009,31.560143,-86.327501,BRANTLEY
36010,31.713427,-85.816261,BRUNDIDGE
36013,32.310624,-86.186132,CECIL
36015,31.642713,-86.734317,CHAPMAN
36016,31.805322,-85.421299,CLAYTON
36017,31.749142,-85.561944,CLIO
36020,32.505625,-86.332245,COOSADA
36022,32.614355,-86.35842,DEATSVILLE
36023,32.800155,-85.803427,EAST TALLASSEE
36024,32.645178,-86.036529,ECLECTIC
36025,32.632954,-86.134553,ELMORE
36026,32.77522,-86.1216,EQUALITY
36027,31.914745,-85.389969,EUFAULA
36028,31.518541,-86.354365,DOZIER
36029,32.092808,-85.704649,FITZPATRICK
36030,31.850138,-86.837211,FOREST HOME
36031,32.250651,-85.752417,FORT DAVIS
36032,32.01285,-86.608238,FORT DEPOSIT
36033,31.624666,-86.634844,GEORGIANA
36034,31.611203,-86.167727,GLENWOOD
36035,31.810302,-86.092603,GOSHEN
36036,32.011697,-86.166847,GRADY
36037,31.796729,-86.596233,GREENVILLE
36038,31.260882,-86.444833,GANTT
36039,32.293879,-85.813517,HARDAWAY
36040,32.152198,-86.597157,HAYNEVILLE
36041,31.945789,-86.306248,HIGHLAND HOME
36042,31.871334,-86.405406,HONORAVILLE
